Name	energy/eV	pauling1	ionization1	affinity1	bulknn1	rd1	coupling_m1	work_function1	pauling2	ionization2	affinity2	bulknn2	rd2	coupling_m2	work_function2	d_center	d_skew	d_kurt	d_fill	sp_fill
Au/Rh(111)	-0.2411	2.54	9.226	2.309	2.9373	1.01	3.35	5.28	2.28	7.459	1.143	2.704	0.99	3.32	5.078	-3.5158	6.5505	2.4333	8.8471	1.0278
Ag/Rh(111)	-0.0906	1.93	7.576	1.304	2.9261	0.89	2.26	4.427	2.28	7.459	1.143	2.704	0.99	3.32	5.078	-3.9264	6.9071	2.5725	8.3491	0.747
Cu/Rh(111)	-0.9506	1.9	7.726	1.236	2.5652	0.67	1	4.719	2.28	7.459	1.143	2.704	0.99	3.32	5.078	-1.8788	17.0487	3.8118	8.304	0.6833
Pt/Rh(111)	-1.3527	2.28	8.959	2.125	2.8038	1.04	3.9	5.75	2.28	7.459	1.143	2.704	0.99	3.32	5.078	-2.354	2.3535	1.546	8.1275	1.2014
Pd/Rh(111)	-1.2179	2.2	8.337	0.562	2.7846	0.94	2.78	5.21	2.28	7.459	1.143	2.704	0.99	3.32	5.078	-1.9255	2.8338	1.8198	8.5129	0.923
Ir/Rh(111)	-1.9757	2.2	9.121	1.564	2.7388	1.08	4.45	5.489	2.28	7.459	1.143	2.704	0.99	3.32	5.078	-1.9606	1.5965	1.3847	6.907	1.2399
Ni/Rh(111)	-1.751	1.91	7.64	1.157	2.4842	0.71	1.16	4.945	2.28	7.459	1.143	2.704	0.99	3.32	5.078	-1.1844	6.3671	2.5801	8.7842	0.7506
Cu/Ni(111)	-0.7505	1.9	7.726	1.236	2.5652	0.67	1	4.719	1.91	7.64	1.157	2.4842	0.71	1.16	4.945	-2.152	23.1575	4.2439	9.7755	0.8232
Pt/Ni(111)	-1.7218	2.28	8.959	2.125	2.8038	1.04	3.9	5.75	1.91	7.64	1.157	2.4842	0.71	1.16	4.945	-2.0995	16.9606	3.1098	8.4182	1.2777
Pd/Ni(111)	-1.5646	2.2	8.337	0.562	2.7846	0.94	2.78	5.21	1.91	7.64	1.157	2.4842	0.71	1.16	4.945	-2.3781	3.6602	1.8442	8.3881	1.1623
Ir/Ni(111)	-2.2725	2.2	9.121	1.564	2.7388	1.08	4.45	5.489	1.91	7.64	1.157	2.4842	0.71	1.16	4.945	-2.4671	4.5253	1.7995	7.3044	1.5872
Rh/Ni(111)	-1.8779	2.28	7.459	1.143	2.704	0.99	3.32	5.078	1.91	7.64	1.157	2.4842	0.71	1.16	4.945	-1.8601	27.0374	3.7211	7.7066	1.1447
Au(111)	-0.2449	2.54	9.226	2.309	2.9373	1.01	3.35	5.28	2.54	9.226	2.309	2.9373	1.01	3.35	5.28	-3.0046	6.4133	2.5474	8.7194	0.788
